,,SYS_MS,MAKE_CAN_ID(HEX),DATA(HEX)
RX,Exd,1381150780,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1381250398,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1381400765,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,62720,0101FFEE,5E 0B 01 01 01 01 01 01 
TX,Exd,62722,0102FFEE,5E 0C 01 01 01 01 01 01 
RX,Exd,1381500843,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1381501360,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1381510640,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1381520671,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1381530663,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1381650772,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1381750452,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1381900827,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1382000880,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1382150794,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,63473,0101FFEE,59 0C 01 01 01 01 01 01 
TX,Exd,63475,0102FFEE,59 0D 01 01 01 01 01 01 
RX,Exd,1382250471,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1382400757,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1382501047,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1382501577,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1382510723,18E2D0F3,2F 33 37 39 30 33 31 20 
RX,Exd,1382520750,18E3D0F3,20 20 20 20 20 20 20 20 
RX,Exd,1382530736,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1382650801,1826F456,01 01 00 00 00 00 00 00 
RX,Exd,1382750531,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1382900765,1826F456,01 01 00 00 00 00 00 00 
TX,Exd,64226,0101FFEE,58 0D 01 01 01 01 01 01 
TX,Exd,64228,0102FFEE,58 0E 01 01 01 01 01 01 
RX,Exd,1383000889,182756F4,60 1B 00 00 00 00 00 00 
RX,Exd,1383150795,1826F456,01 01 00 00 00 00 00 00 
